,name,price,mrp,Rating,product_id
56,Designer Kurthi(Code-1565 BK), 1 100.00, 1 100.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1565-bk
57,Designer Kurthi(Code-1569 BK), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1569-bk
58,Designer Kurthi(Code-1570 BK), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1570-bk
59,Designer Kurthi(Code-1574 BK), 1 200.00, 1 200.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1574-bk
60,Designer Kurthi(Code-1576 BK),"
 1,200.00
","
 1,200.00
",0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1576-bk
61,Designer Kurthi(Code-1577 BK),"
 980.00
","
 980.00
",0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1577-bk
62,Designer Kurthi(Code-1581 BK), 880.00, 880.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1581-bk
63,Designer Kurthi(Code-1582 BK), 880.00, 880.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1582-bk
64,Designer Kurthi(Code-1584 BK), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1584-bk
65,Designer Kurthi(Code-1585 BK), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1585-bk
66,Designer Kurthi(Code-1587 BK), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1587-bk
67,Designer Kurthi(Code-1588 BK), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1588-bk
68,Designer Kurthi(Code-1589 BK), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1589-bk
69,Designer Kurthi(Code-1592 BK), 1 400.00, 1 400.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1592-bk
70,Designer Kurthi(Code-1594 BK), 1 200.00, 1 200.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1594-bk
71,Designer Kurthi(Code-1602 BK), 880.00, 880.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1602-bk
72,Designer Kurthi(Code-1604 BK), 880.00, 880.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1604-bk
73,Designer Kurthi(Code-1605 BK), 1 100.00, 1 100.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1605-bk
74,Designer Kurthi(Code-1607 BK), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1607-bk
75,Designer Kurthi(Code-1609 BK), 980.00, 980.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1609-bk
76,Designer Kurthi(Code-1613 BK), 1 100.00, 1 100.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1613-bk
77,Designer Kurthi(Code-1614 BK), 880.00, 880.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1614-bk
78,Designer Kurthi(Code-1621 BK), 880.00, 880.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1621-bk
79,Designer Kurthi(Code-1622 BK), 880.00, 880.00,0 reviews,https://www.blocksandprintsonline.com/products/designer-kurthicode-1622-bk
80,Designer Kurthi (code- 1450 bk), 1 400.00, 1 400.00,0 reviews,https://www.blocksandprintsonline.com/products/onam-kurthi-code-1450-bk
81,Skirt - Blouse Set (code- 1511 bk), 1 800.00, 1 800.00,0 reviews,https://www.blocksandprintsonline.com/products/skirt-blouse-set-code-1511-bk
