,name,price,mrp,Rating,product_id
121,Fusion Black,"3,250","3,250",Share,https://thenmozhidesigns.com/products/plain-1
122,Golden Yellow - Yellow Mangalagiri Plain Cotton Saree,"2,500","2,500",Share,https://thenmozhidesigns.com/products/plain-3
123,Fusion Bright Yellow,"2,000","3,250",Share,https://thenmozhidesigns.com/products/plain-04
124,Royal Raspberry - Wine Mangalagiri Plain Cotton Saree,"2,500","2,500",Share,https://thenmozhidesigns.com/products/plain-5
125,Pastel Green - Green Mangalagiri Plain Cotton Saree,"2,500","2,500",Share,https://thenmozhidesigns.com/products/plain-6
126,Rich Blue - Blue Mangalagiri Plain Cotton Saree,"2,250","2,250",Share,https://thenmozhidesigns.com/products/plain-7
127,Touch of Sea Green -Green Mangalagiri Plain Cotton Saree,"2,500","2,500",Share,https://thenmozhidesigns.com/products/plain-11
128,Purple Magic Handwoven Mangalagiri Silk Cotton Saree,"4,500","4,500",Share,https://thenmozhidesigns.com/products/purple-handwoven-mangalagiri-silk-cotton-saree-1
129,Ethnic Purple Maheshwari Silk Cotton (Handloom),"4,000","4,000",Share,https://thenmozhidesigns.com/products/purple-maheshwari-silk-cotton-saree
130,Diva (Purple) Maheshwari Silk Cotton Handloom Saree,"3,850","3,850",Share,https://thenmozhidesigns.com/products/purple-maheshwari-silk-handloom-cotton-saree
131,Hridaya Purple- Purple Maheshwari Tissue Silk Handloom Cotton Saree,"4,500","4,500",Share,https://thenmozhidesigns.com/products/purple-maheshwari-tissue-silk-handloom-cotton-saree
132,Hridaya Purple- Purple Maheshwari Tissue Silk Handloom Cotton Saree,"4,500","4,500",Share,https://thenmozhidesigns.com/products/purple-maheshwari-tissue-silk-handloom-cotton-saree
133,Hridaya Purple- Purple Maheshwari Tissue Silk Handloom Cotton Saree,NA,NA,Share,https://thenmozhidesigns.com/products/purple-mangalagiri-semi-silk-cotton-saree
134,Vani Bhojan Red Handwoven Mangalagiri Silk Cotton,"4,500","4,500",Share,https://thenmozhidesigns.com/products/red-handwoven-mangalagiri-silk-cotton-copy
135,Red and Pink Maheshwari Silk Cotton Handloom Saree,"4,500","4,500",Share,https://thenmozhidesigns.com/products/red-maheshwari-silk-cotton-handloom-saree
136,Classy Red - Maheshwari Silk Cotton Saree,"4,500","4,500",Share,https://thenmozhidesigns.com/products/red-maheshwari-silk-handloom-cotton-saree
137,Purple Mangalagiri Semi Silk Cotton Saree,"3,500","3,500",Share,https://thenmozhidesigns.com/products/red-mangalagiri-semi-silk-cotton-saree
138,Red Narayanpet Big Border Saree,"2,000","2,000",Share,https://thenmozhidesigns.com/products/red-narayanpet-big-broder-saree
139,Onion Pink Floral Pure Silk Saree,"15,386","18,000",Share,https://thenmozhidesigns.com/products/silk-saree-03
140,Turquoise Mangalagiri Semi Silk Cotton Saree,"3,500","3,500",Share,https://thenmozhidesigns.com/products/sky-blue-mangalagiri-semi-silk-cotton-saree
141,Light Plum Tissue Bliss,"2,750","2,750",Share,https://thenmozhidesigns.com/products/tissue-04
142,Purple Tissue Bliss,"2,750","2,750",Share,https://thenmozhidesigns.com/products/tissue-05
143,Turquoise Elegance,"4,500","4,500",Share,https://thenmozhidesigns.com/products/tissue-6
144,Brown Tissue Bliss - Tissue Cotton Saree,"2,750","2,750",Share,https://thenmozhidesigns.com/products/tissue-08
145,White Nizam Border - Mangalagiri Cotton Saree,"2,500","2,500",Share,https://thenmozhidesigns.com/products/white-nizam-border-mangalagiri-cotton-saree
146,Yellow Mangalagiri Semi Silk Cotton Saree,"3,500","3,500",Share,https://thenmozhidesigns.com/products/yellow-blue-mangalagiri-semi-silk-cotton-saree
147,Dazzling Yellow - Mangalagiri Silk Cotton Saree,"4,500","4,500",Share,https://thenmozhidesigns.com/products/yellow-handwoven-mangalagiri-silk-cotton-saree
148,Green Mangalagiri Cotton Stripe Saree,"2,500","2,500",Share,https://thenmozhidesigns.com/products/yellow-mangalagiri-cotton-stripe-saree
149,Brown Co-Ord Set,"1,750","1,750",Share,https://thenmozhidesigns.com/products/brown-co-ord-set
150,Bottle Green Co-Ord Set,"1,750","1,750",Share,https://thenmozhidesigns.com/products/dark-green-co-ord-set
151,Dark Pink Co-Ord Set,"1,750","1,750",Share,https://thenmozhidesigns.com/products/darkpink-co-ord-set
152,Dark Green Printed Co-ord Set,"1,500","1,750",Share,https://thenmozhidesigns.com/products/green-printed-co-ord-set-1
153,Hot Pink Printed Co-ord Set,"1,500","1,750",Share,https://thenmozhidesigns.com/products/hotpink-printed-co-ord-set
154,Light Pink Printed Co-ord Set,"1,500","1,750",Share,https://thenmozhidesigns.com/products/light-pink-printed-co-ord-set
155,Purple Printed Co-ord Set,"1,500","1,750",Share,https://thenmozhidesigns.com/products/light-purple-printed-co-ord-set
156,Sea Green Printed Co-ord Set,"1,500","1,750",Share,https://thenmozhidesigns.com/products/lightseagreen-printed-co-ord-set
157,Pastel Pink Co-Ord Set,"1,750","1,750",Share,https://thenmozhidesigns.com/products/pink-co-ord-set
158,Dark Lilac Printed Co-ord Set,"1,500","1,750",Share,https://thenmozhidesigns.com/products/plum-printed-co-ord-set
159,Lilac Co-Ord Set,"1,750","1,750",Share,https://thenmozhidesigns.com/products/purple-co-ord-set-1
160,Red Co-Ord Set,"1,750","1,750",Share,https://thenmozhidesigns.com/products/red-co-ord-set
161,Blue Printed Co-ord Set,"1,500","1,750",Share,https://thenmozhidesigns.com/products/turquoise-printed-co-ord-set
162,Yellow Co-Ord Set,"1,750","1,750",Share,https://thenmozhidesigns.com/products/yellow-co-ord-set
