,name,price,mrp,discount,product_id
0,"Beautiful Maroon Color Pure Chanderi Silk Three Piece Anarkali Suit
","2,399.00","6,780.00","     65 
",https://tanhai.in/collections/anarkali-suit/products/beautiful-maroon-color-pure-chanderi-silk-three-piece-anarkali-suit-copy
1,"Beautiful Multi Color Fully Flair Georgette Three Piece Anarkali Suit
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/beautiful-multi-color-fully-flair-georgette-three-piece-anarkali-suit
2,"Beautiful Baby Pink Multi Color Georgette Three Piece Anarkali Suit
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/beautiful-multi-color-georgette-three-piece-anarkali-suit
3,"Beautiful Mustard Color Pure Chanderi Silk Three Piece Anarkali Suit
","2,399.00","6,780.00","     65 
",https://tanhai.in/collections/anarkali-suit/products/beautiful-mustard-color-pure-chanderi-silk-three-piece-anarkali-suit
4,"Beautiful White Color Pure Chanderi Silk Three Piece Anarkali Suit
","2,399.00","6,780.00","     65 
",https://tanhai.in/collections/anarkali-suit/products/beautiful-white-color-pure-chanderi-silk-three-piece-anarkali-suit
5,"Black Color Floral Print Organza Three Piece Anarkali Suit
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/black-color-floral-print-organza-three-piece-anarkali-suit
6,"Black Color Georgette Anarkali With Embroidered Dupatta
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/black-color-georgette-anarkali-with-embroidered-dupatta
7,"Black Color Georgette Three Piece Anarkali Suit
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/black-color-georgette-three-piece-anarkali-suit
8,"Black Color Laheriya Print Georgette Three Piece Anarkali Suit
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/black-color-laheriya-print-georgette-three-piece-anarkali-suit
9,"Black Color Soft Georgette Anarkali Gown With Floral Printed Dupatta
","1,999.00","6,780.00","     71 
",https://tanhai.in/collections/anarkali-suit/products/black-color-soft-georgette-anarkali-gown-with-floral-printed-dupatta
