,name,price,mrp,Rating,discount
109,"   ₹1,299","   ₹1,299"," ₹5,999.00 ", 3.6 ,-78%
110,"   ₹1,199","   ₹1,199"," ₹2,500.00 ", 3.8 ,-52%
111,"   ₹1,499","   ₹1,499"," ₹6,399.00 ", 4.0 ,-77%
112,"   ₹1,949","   ₹1,949"," ₹7,949.00 "," 1,499.00 ",-75%
113,"   ₹1,999","   ₹1,999"," ₹7,949.00 "," 2,149.00 ",-75%
114,"   ₹1,499","   ₹1,499"," ₹6,399.00 ", 4.0 ,-77%
115,About this item,About this item,NA, 699.00 ,NA
116,   ₹949,   ₹949," ₹2,799.00 ", 699.00 ,-66%
117,   ₹799,   ₹799," ₹2,499.00 ", 879.00 ,-68%
118,   ₹598,   ₹598," ₹2,999.00 ", 879.00 ,-80%
119,   ₹949,   ₹949," ₹2,997.00 ", 879.00 ,-68%
120,"   ₹1,709","   ₹1,709"," ₹5,397.00 ", 879.00 ,-68%
121,   ₹949,   ₹949," ₹2,299.00 ", 3.4 ,-59%
122,   ₹699,   ₹699," ₹2,999.00 ", 3.9 ,-77%
